OBJECTNUMMER;CodeJ;_2021;_2020;_2019;_2018;_2017;_2016;_2015;_2014;_2013;_2012;_2011;_2010;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
132;"OK5";12.1;16.6;18.7;17.4;21.7;21.8;19.9;20.1;18.8;22.6;22.2;0;"0";"0";0;0;
133;"OK6";14.6;15;19.3;20.4;23;22.5;22.4;23.3;22.8;26.6;25.3;0;"0";"0";0;0;
134;"OK7";13.9;16;19.1;20.6;23;23.2;22;24.2;26;25.6;26.6;0;"0";"0";0;0;
135;"OK8";15.3;16.5;21.4;22.7;24.6;24.5;24.2;25.5;25.6;27.5;29.6;0;"0";"0";0;0;
136;"OK9";15.7;17.2;22;20.2;25.7;24.9;23.8;24.7;24.6;27.3;26.9;0;"0";"0";0;0;
137;"MID3A (OK)";0;0;0;0;0;28.2;22.3;21.4;21.6;23.9;23.6;0;"0";"0";0;0;
138;"OK11";13.8;15.2;19.8;19.6;21.3;21.8;20;20.7;20.9;22.7;22.7;0;"0";"0";0;0;
139;"OK18";15.9;16.8;21.2;22.8;23.2;24.8;22.6;25.4;25.8;29.7;28.8;0;"0";"0";0;0;
140;"OK19";16;16.7;21.7;22.9;25.5;25.8;24.2;25;25.5;27.8;24.7;0;"0";"0";0;0;
141;"OK22";15.1;16.1;21.2;22.7;21.3;23.4;22.2;22.8;23.9;24.9;24.8;0;"0";"0";0;0;
142;"OK23";14.4;15.6;20.1;20.5;23.1;22.8;21.5;23.3;23.7;26.5;27.1;0;"0";"0";0;0;
143;"OK24";13.1;13.8;17.3;18.4;21.3;20.1;19;21.7;20.5;20.7;21.5;0;"0";"0";0;0;
144;"SATB/GB";0;0;0;0;26.3;26.4;26.5;27.9;27.4;29.1;32.7;0;"0";"0";0;0;
145;"DD13";22.2;22.8;29;29.5;32.7;33;32.5;32.3;33.5;36.9;35.5;0;"0";"0";0;0;
146;"DD14";17.3;17.8;21.6;23.2;25.6;26;24.2;25.9;26.8;27.8;30.1;0;"0";"0";0;0;
147;"DD15";14.4;15.9;20.3;19.2;22.1;22.5;22.7;24.8;23.9;26.4;26.5;0;"0";"0";0;0;
148;"DD16";18.5;19.4;25;26;29.8;29.3;26.4;27.9;27.6;30.7;28.8;0;"0";"0";0;0;
149;"DD17";18.9;19.5;22.7;26.2;29.6;28.8;28.3;29.9;33.5;33.8;33.7;0;"0";"0";0;0;
150;"DD20";18.6;20.4;26.7;27.3;31.1;31.9;28.4;34;31.5;35.4;34.6;0;"0";"0";0;0;
151;"DD21";19.9;21.6;29;30.4;40.7;33.9;34.6;33.7;34.4;39.4;35.6;0;"0";"0";0;0;
152;"DD25";16.7;18.7;23;24.1;25.4;24.8;26.3;25.3;26.8;29.1;29.1;0;"0";"0";0;0;
153;"DD27";13.7;14.3;19.5;18.3;20.8;19.4;20.2;21.3;22.2;21.7;22.7;0;"0";"0";0;0;
154;"DD28";18.4;19.2;26.4;25.5;31;28.8;28.1;28.4;28.4;30.5;30.7;0;"0";"0";0;0;
155;"DD12";15.2;17;21.4;22.6;0;0;0;0;0;0;0;0;"0";"0";0;0;
156;"DD3A";18.9;20;25.3;24.5;0;0;0;0;0;0;0;0;"0";"0";0;0;
157;"OK10";13.3;15.2;18.5;18.6;0;0;0;0;0;0;0;0;"0";"0";0;0;
158;"OK2A";15;16.3;19.9;20.9;0;0;0;0;0;0;0;0;"0";"0";0;0;
159;"Z1";14;16.4;19.2;20.1;21;20.9;21.7;23.6;22.3;22.5;22.6;24.8;"0";"0";0;0;
160;"Z2";15.3;19;28.6;26.7;28.1;31;27.4;30.2;26.6;31.4;31.3;32.9;"0";"0";0;0;
161;"Z3";17.2;18.6;22.5;23;25.1;25.7;23.7;26.9;25.6;31.9;29.5;28.9;"0";"0";0;0;
162;"Z4";17.5;20.5;22.6;23.8;23.9;24.8;22.8;25.6;25.1;28.4;27.3;29.9;"0";"0";0;0;
163;"Z5";17.6;20.6;24.2;24.1;25.3;25.8;25.9;28.1;27.3;30.2;30;30.5;"0";"0";0;0;
164;"Z6";18.4;21;24.7;25.4;25.4;26.1;25.2;26.6;24.9;27.1;29;30.6;"0";"0";0;0;
165;"Z7";22.9;28.5;33.4;31.3;33.1;33.7;31.7;32.9;31.7;37.4;39.4;37.6;"0";"0";0;0;
166;"Z8";19.2;23.9;24.5;26.8;28.1;26.3;24.9;28.4;27.3;29.8;28.6;28.7;"0";"0";0;0;
167;"Z9";24.5;26.3;31.2;29.5;30.6;33.7;30.3;33;30.4;31.8;29.5;31.1;"0";"0";0;0;
168;"Z10";19;22.3;25.4;26.5;26.2;28.5;25.6;28.6;27.2;28.2;28.3;30.2;"0";"0";0;0;
169;"Z11";0;0;0;0;0;0;46.8;51.6;44.1;41;45.2;46.8;"0";"0";0;0;
170;"Z14";26.5;32;35.9;35.7;39.2;39.7;0;0;0;0;0;0;"0";"0";0;0;
171;"ZL1";19.4;21.9;25.1;27.3;0;0;0;0;0;0;0;0;"0";"0";0;0;
172;"ZL2";21.6;24.3;27.8;27.8;0;0;0;0;0;0;0;0;"0";"0";0;0;
173;"ZL3";17.7;19.3;22.5;23.6;0;0;0;0;0;0;0;0;"0";"0";0;0;
174;"ZL4";17.9;19;22;22.2;0;0;0;0;0;0;0;0;"0";"0";0;0;
175;"ZL5";19.1;19.4;24.1;26.6;0;0;0;0;0;0;0;0;"0";"0";0;0;
176;"ZL6";16.6;18.6;23.3;24.3;0;0;0;0;0;0;0;0;"0";"0";0;0;
177;"ZL7";17.2;20.2;23.8;24.2;0;0;0;0;0;0;0;0;"0";"0";0;0;
178;"ZL8";17.9;20.3;24.9;26;0;0;0;0;0;0;0;0;"0";"0";0;0;
179;"H10";20.7;22.6;26.7;28.1;41.4;0;0;0;0;0;0;0;"0";"0";0;0;
180;"H11";22.9;24.5;28.6;32;28.4;0;0;0;0;0;0;0;"0";"0";0;0;
181;"H12";19.1;20.9;25.4;25.6;0;0;0;0;0;0;0;0;"0";"0";0;0;
182;"H13";18.2;20.6;24.4;26.6;0;0;0;0;0;0;0;0;"0";"0";0;0;
183;"HA1";18;20.5;25.5;27.1;0;0;0;0;0;0;0;0;"0";"0";0;0;
184;"HA2";19.7;17.9;23.2;26.3;0;0;0;0;0;0;0;0;"0";"0";0;0;
185;"HA3";0;0;0;22.5;0;0;0;0;0;0;0;0;"0";"0";0;0;
186;"HA4";19.4;21.5;26.7;28.9;0;0;0;0;0;0;0;0;"0";"0";0;0;
187;"HA5";0;26.9;32.3;36.9;0;0;0;0;0;0;0;0;"0";"0";0;0;
188;"HA6";16.9;20;23.3;26.1;0;0;0;0;0;0;0;0;"0";"0";0;0;
189;"HA7";0;0;0;26.8;0;0;0;0;0;0;0;0;"0";"0";0;0;
190;"HA8";17.4;18.1;23.4;24.9;0;0;0;0;0;0;0;0;"0";"0";0;0;
191;"HA9";0;21.8;26;26.7;0;0;0;0;0;0;0;0;"0";"0";0;0;
192;"HA10";0;20.4;24.2;27.1;0;0;0;0;0;0;0;0;"0";"0";0;0;
193;"HA11";0;21;24.8;25.9;0;0;0;0;0;0;0;0;"0";"0";0;0;
194;"HA12";0;20.8;25;25.7;0;0;0;0;0;0;0;0;"0";"0";0;0;
195;"HA13";0;19.9;23.9;25;0;0;0;0;0;0;0;0;"0";"0";0;0;
196;"HA14";0;22.5;26.4;28.6;0;0;0;0;0;0;0;0;"0";"0";0;0;
197;"HA15";19.6;21.2;24.6;28.2;0;0;0;0;0;0;0;0;"0";"0";0;0;
198;"HA16";0;0;0;26.8;0;0;0;0;0;0;0;0;"0";"0";0;0;
199;"HA17";14.4;14.6;17.4;19.9;0;0;0;0;0;0;0;0;"0";"0";0;0;
200;"H1";0;15.8;18.7;20.9;0;0;19.7;0;0;0;0;0;"0";"0";0;0;
201;"H2";0;21;27.4;28.3;0;0;27.7;0;0;0;0;0;"0";"0";0;0;
202;"H3";23.9;24.2;29.9;32.9;0;0;34.7;0;0;0;0;0;"0";"0";0;0;
203;"H4";15.4;16.6;19.6;21.4;0;0;21.1;0;0;0;0;0;"0";"0";0;0;
204;"H6";18.7;18.8;22.5;24.7;0;0;21.3;0;0;0;0;0;"0";"0";0;0;
205;"H7";17.6;18.4;22.2;24.1;0;0;24.3;0;0;0;0;0;"0";"0";0;0;
206;"H8";14.4;15.5;19;22.6;0;0;0;0;0;0;0;0;"0";"0";0;0;
207;"OZ1";23.6;26.6;28.4;34.3;0;0;0;0;0;0;0;0;"0";"0";0;0;
208;"OZ3";18.6;22.7;24.7;23.8;0;0;0;0;0;0;0;0;"0";"0";0;0;
209;"OZ2";21.1;24.7;28.4;25.2;0;0;0;0;0;0;0;0;"0";"0";0;0;
210;"HA18";25.1;27.4;32.3;36.9;0;0;0;0;0;0;0;0;"0";"0";0;0;
211;"HA19";0;23.1;28.6;31.5;0;0;0;0;0;0;0;0;"0";"0";0;0;
212;"HA20";0;17.3;20.1;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
213;"HA21";0;16.1;19.1;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
214;"HA22";0;21.5;25.8;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
215;"HA23";0;18.9;22.7;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
216;"HA24";0;26.2;29.7;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
217;"HA25";0;22.9;28;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
218;"HA26";0;18.2;21.3;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
219;"HA27";17.4;18.7;22.2;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
220;"HA28";0;16.1;19.4;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
221;"HA29";13.5;14.4;21.5;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
222;"HA30";0;15.6;19.6;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
223;"ZMP1";20.1;25.8;27.8;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
224;"ZMP2";21.1;24.2;28.4;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
225;"ZMP3";21.4;25.1;28.3;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
226;"ZMP4";19;24.6;27.9;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
227;"ZMP5";21.2;23.4;28.6;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
228;"LOK2";22.2;23.3;29;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
229;"LOK3";19.4;25.4;28.4;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
230;"LOK4";15;17.3;22.8;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
231;"LOK5";13.3;16.2;19.3;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
232;"LOK7";18.6;23.3;27.5;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
233;"LOK8";19.3;22.2;26.3;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
234;"LOK9";17.7;20.9;26.8;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
235;"LOK10";16.3;20.1;23.9;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
236;"LOK11";18.1;25.2;26.3;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
237;"LOK12";25.8;28.7;33.7;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
238;"LOK13";16;18.7;21.2;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
239;"LOK14";22.2;23.8;26;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
240;"LOK15";27.5;28.2;32.1;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
241;"L1";20.2;23;27.3;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
242;"L2";12.6;16.6;19;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
243;"L3";0;0;18.2;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
244;"L4";0;0;16.8;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
245;"L5";0;0;16.1;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
246;"L6";21.2;22.8;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
247;"L7";13.5;15.2;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
248;"L8";12.2;13.9;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
249;"P1";16.7;17.7;25.2;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
250;"P2";23.7;25.7;29.6;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
251;"P3";17.9;19.9;26.2;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
252;"P4";15.3;17.2;25.1;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
253;"P5";13.7;15.5;20.9;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
254;"P6";15.3;17.7;23.4;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
255;"P7";16.1;19.5;26.1;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
256;"P8";14.6;17.4;18.2;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
257;"P9";17.8;18.8;21.2;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
258;"P10";19.3;21.6;25.4;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
259;"HST1";18.6;18.2;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
